frame,time_sec,mouth_height,inner_area,lip_velocity,lip_perimeter,mouth_signal
1,0.000000,0.12617653987379013,0.0306994844717489,0.0,1.5269990215248954,0.06598928828473023
2,0.033370,0.12408080839366822,0.029834225835701212,0.0014804950580847957,1.52225358000652,0.06478663152786107
3,0.066739,0.12227102748464451,0.028916255614577942,0.001363875565073492,1.5108904408454382,0.06369683905246341
4,0.100109,0.12098128646067319,0.02827256998889194,0.0009667133248286615,1.5069681178450747,0.06292334990397053
5,0.133479,0.12032771879910352,0.028055729891636766,0.0004352038794124217,1.5060014170318652,0.06256419242708762
6,0.166848,0.1198442142496094,0.027946797472794483,0.00029621848416820466,1.5035312378917938,0.06231393565416257
7,0.200218,0.11856938025792994,0.027398647802303784,0.0009114918310850744,1.499938506396122,0.06157581545675961
8,0.233588,0.11782749956706196,0.027445834005636945,0.0003945334471005743,1.500173726115844,0.061256125006868965
9,0.266957,0.1156651122239689,0.02625630982851837,0.001675955760105815,1.4938760266376008,0.05992619344934151
10,0.300327,0.11559427945984886,0.02644094597109981,0.00012773445335073803,1.4995289778158283,0.05994970954826193
11,0.333697,0.11477622129369913,0.026031874015468026,0.0006135650608907559,1.5005914994105942,0.05945886178680502
12,0.367067,0.11464653663396994,0.02595239615963764,0.00010458125777979,1.494490099887019,0.05937666033317776
13,0.400436,0.1157644165308483,0.026128962848976593,0.0006472232931086595,1.4972771313085638,0.05993267629357472
14,0.433806,0.11605858664109359,0.02612900497957462,0.00014710612042165457,1.493585281821341,0.060065065482364496
15,0.467176,0.11807546730849032,0.026614811612879603,0.0012513436503508585,1.4983070456626157,0.06111840377268452
16,0.500545,0.11883786782163294,0.026808714808844412,0.00047815185455371556,1.4955851184793476,0.06151965496238815
17,0.533915,0.11954060048661133,0.026961123227801757,0.0004275705419678668,1.491337112128335,0.061881607187315626
18,0.567285,0.12519239066486862,0.028737111407439783,0.0037138891789476568,1.485292677927617,0.06495770922142281
19,0.600654,0.13287972164100958,0.031729699347070206,0.005339959457885695,1.4932354423101657,0.06931478454257538
20,0.634024,0.13812690740424813,0.034167082564525636,0.0038422844903469866,1.504283538797748,0.07240723310126936
21,0.667394,0.14017936231419856,0.03491429694351428,0.0013998346444695359,1.5075349398224762,0.07355500212444363
22,0.700763,0.1421866758821139,0.035874269524526665,0.001483643074463862,1.5171897415877549,0.07474628500430926
23,0.734133,0.14605554835838208,0.038028714664619344,0.0030116588081804327,1.5341706250289435,0.07713361116065774
24,0.767503,0.14941015712761652,0.03983199326032676,0.002578943682470927,1.5502737119889733,0.07918416868552546
25,0.800872,0.14834446622076017,0.039316790826561525,0.0007904466703107932,1.5594175860834938,0.07855004704731054
26,0.834242,0.14584525074841453,0.03797437123408379,0.001920817532411686,1.562776011220774,0.07702267420701167
27,0.867612,0.14501092401957688,0.0380592737307371,0.0004596146127454834,1.5799624028341896,0.07667269792803073
28,0.900981,0.1442386572271049,0.036864803670503994,0.0009833684263525384,1.592175733836662,0.07596683685334842
29,0.934351,0.14643086477980052,0.03751553530176325,0.001421469591977434,1.5986012193893102,0.07714854974143921
30,0.967721,0.14743201319747293,0.038102416268433206,0.0007940146921711806,1.6033043433574325,0.07777513081939277
31,1.001091,0.15146830636242448,0.04070729551957422,0.003320586208046282,1.6162113501501036,0.08037292651896329
32,1.034460,0.15451410470631713,0.042009620798649554,0.0021740618114839926,1.6155664730515704,0.08213423335743758
33,1.067830,0.1598035237899915,0.044504212383748167,0.0038920053343864877,1.6193376747451622,0.08526284942062062
34,1.101200,0.16306463017034928,0.0463923339053586,0.002574613950984111,1.6120089456191096,0.08729678374826476
35,1.134569,0.16106908770017475,0.04621326856028814,0.0010873039076224958,1.6137424291825306,0.08634507003316508
36,1.167939,0.15432246382005932,0.043417349283563375,0.004771271578420097,1.6112416085978791,0.0824703135040957
37,1.201309,0.15105573576553072,0.042007135013794404,0.0023384711621487857,1.610441163267427,0.08057722159862715
38,1.234678,0.14866816292934612,0.041447957290904426,0.0014733752795372881,1.6130330240565567,0.07933506050547709
39,1.268048,0.1480237266111632,0.04110986164949067,0.0004912659797983408,1.6120335374551782,0.07894363546987064
40,1.301418,0.14687283767099665,0.04077533165893611,0.0007427094653605498,1.6128992119531111,0.07832537644962934
41,1.334787,0.14611283307508102,0.040595747464753994,0.00046979439504887463,1.6115330430169483,0.07792949912321266
42,1.368157,0.14648815558073217,0.04084121610049498,0.0003103955706960648,1.6105506165014183,0.07817203484147797
43,1.401527,0.14878567220904235,0.041636146301204,0.0015462234145095996,1.6167494951592158,0.07944439638443027
44,1.434896,0.15068146983570183,0.042340090053355144,0.0012998706894053122,1.6303259181527299,0.08050868844207237
45,1.468266,0.15400487837017257,0.04345660747942908,0.0022199629802723414,1.6364105919166132,0.08233917751040638
46,1.501636,0.15889779607508936,0.045390816683219606,0.003413563454353657,1.6391632973946548,0.0851212532387561
47,1.535005,0.16295216736170923,0.04744644576637531,0.0030550001848877843,1.6443989356518518,0.08756240904268174
48,1.568375,0.166169850257233,0.049395385488569095,0.0025833113088587767,1.6558358848406602,0.08959504826232559
49,1.601745,0.1679073273437931,0.04987674293646227,0.0011094172672266416,1.6571832122963208,0.09052132018564557
50,1.635115,0.16951110878755518,0.050327094777289735,0.001027066642294773,1.6548461355584825,0.09137812738758676
51,1.668484,0.16196297030255996,0.04507359155640912,0.006400820852937916,1.642392804513476,0.08640541410307473
52,1.701854,0.1442949744629654,0.03691854858215486,0.012911519406924407,1.620399070303046,0.0760083030829809
53,1.735224,0.13372464378570306,0.03282621193801852,0.007331333660699345,1.6045657148321724,0.07002395328497193
54,1.768593,0.1291366503083743,0.03115909548671334,0.0031275549643169746,1.5926671119675275,0.06745922128478243
55,1.801963,0.13106988881696313,0.032039666949757524,0.0014069049858165122,1.5974927661761078,0.06859335005256066
56,1.835333,0.1382010152684259,0.03520144759379986,0.005146453547752554,1.6137627070914702,0.07275089114893162
