frame,time_sec,mouth_height,inner_area,mouth_signal
1,0.000000,0.06807699178854973,0.0016311746628334767,0.04814324665083485
2,0.033358,0.06642929907105322,0.0016241150108353807,0.04698774385298786
3,0.066716,0.06726234022313647,0.0015307145339579719,0.04754285251638292
4,0.100073,0.07221757183282279,0.0013478939315907472,0.05095666846245318
5,0.133431,0.06851391768670756,0.0017633693678179216,0.048488753191040665
6,0.166789,0.0647897672636371,0.0017964142745482525,0.04589176136691044
7,0.200147,0.06182242609417886,0.001622817604280548,0.04376254354720936
8,0.233505,0.06351276976333892,0.0014580114993939766,0.044896342284155434
9,0.266862,0.06510618627808432,0.001270867053926962,0.045955590510837106
10,0.300220,0.06572642457993237,0.0012655517685037233,0.04638816273650378
11,0.333578,0.06583129233293297,0.0012882424120618456,0.04646837735667163
12,0.366936,0.06594067630446629,0.0013165861684188971,0.04655344926365207
13,0.400294,0.06581360359888126,0.001382469993900641,0.04648426351738707
14,0.433652,0.0658738652691153,0.0013831211407169667,0.0465266420305958
15,0.467009,0.06596231151704046,0.0012936068566425582,0.04656170011892109
16,0.500367,0.0656019643065415,0.0013004615323854926,0.04631151347429469
17,0.533725,0.06478087643129615,0.0011461308205893588,0.04569045274808411
18,0.567083,0.06426409827846613,0.0011306438219148977,0.04532406194150076
19,0.600441,0.06379897939096422,0.001233013605169708,0.045029189655225864
20,0.633798,0.06417798667696992,0.0012314021971941585,0.04529401133303718
21,0.667156,0.06424799163509991,0.0012531012624089866,0.04534952452329263
22,0.700514,0.06409057504874098,0.001290186598677853,0.04525045851372204
23,0.733872,0.06416880871812966,0.0013341009783723768,0.04531839639620248
24,0.767230,0.06448677534311825,0.0014498898208602955,0.04557570968644086
25,0.800587,0.0637384851784781,0.0015016775861463217,0.04506744290077856
26,0.833945,0.06272009628546986,0.001543107028231672,0.0443669995082984
27,0.867303,0.06320081564834121,0.001492131029310852,0.044688210262632096
28,0.900661,0.062237904045704305,0.0015116905273317718,0.04402003999019254
29,0.934019,0.061997976882663834,0.0014696857512435544,0.04383948954323775
30,0.967377,0.06235281400747728,0.0014188589215729777,0.04407262748170599
31,1.000734,0.0632060155278411,0.00139564353920807,0.044662903931251184
32,1.034092,0.0636257912952991,0.001443115491101039,0.04497098855403968
33,1.067450,0.0638679030674903,0.0014368209687209733,0.0451385784378595
34,1.100808,0.06403071988165095,0.001367773823693185,0.04523183606426362
35,1.134166,0.06391595141257918,0.0013448845478382409,0.04514463135315689
36,1.167523,0.06570142338827509,0.0012791068236241742,0.04637472841887982
37,1.200881,0.07351759427198444,0.0008055723217514397,0.05170398768691454
38,1.234239,0.08097387510930944,0.00043684320874455226,0.05681276553913996
39,1.267597,0.0950066494341294,0.00047777504392764115,0.06664798711706886
40,1.300955,0.14471031269166262,0.02043008423613853,0.10742624415500539
41,1.334312,0.16417402928864036,0.027607350428376736,0.12320402563056126
42,1.367670,0.16975543341111274,0.030275476750963027,0.12791144641306781
43,1.401028,0.1718876091973796,0.031408849671154676,0.12974398133951212
44,1.434386,0.1655807578613159,0.02791340880171825,0.12428055314343661
45,1.467744,0.1572767771513615,0.02579060865128865,0.11783092660133965
46,1.501101,0.1303320926314277,0.011696794793403536,0.09474150328002044
47,1.534459,0.10957457146848007,0.00418709058200973,0.07795832720253897
48,1.567817,0.09850935504943882,0.00023404410379895197,0.06902676176574686
49,1.601175,0.09422276654909355,0.0007845869419420391,0.0661913126669481
50,1.634533,0.0923575683211177,0.0008910918141511432,0.06491762536902773
51,1.667891,0.09139766189079437,0.0006895952392181337,0.06418524189532149
52,1.701248,0.08964301932338102,0.0005679291317330222,0.06292049226588661
53,1.734606,0.08881514304841406,0.00049866493595676,0.06232019961467687
54,1.767964,0.08765303289585863,0.0005579596652354978,0.06152451092667169
55,1.801322,0.08689454041843969,0.000598192764917355,0.06100563612238299
56,1.834680,0.0862972335813972,0.0006837539323069129,0.06061318968667011
57,1.868037,0.08634108685952582,0.0006477641275962702,0.060633090039946956
58,1.901395,0.08642216793674863,0.0005959379951948766,0.060674298954282495
59,1.934753,0.08620696780212113,0.0007083776211600949,0.06055739074783281
60,1.968111,0.08630690152416942,0.0008863668625234978,0.06068074112567564
61,2.001469,0.08606536091857923,0.0009118123802171112,0.060519296357070596
62,2.034826,0.08621198264626871,0.0008973276490499149,0.06061758614710307
63,2.068184,0.08614239011631836,0.000865590354975082,0.06055935018791537
64,2.101542,0.08599206416784935,0.0008510061682898439,0.060449746767981496
65,2.134900,0.08559705073350612,0.0008555921866720107,0.06017461316945589
66,2.168258,0.0854836536754505,0.0008430705996343806,0.06009147875270566
67,2.201615,0.08543039135681096,0.000809850085044834,0.06004422897528112
68,2.234973,0.08544906018118624,0.0006699492339001745,0.06001532689700042
69,2.268331,0.08498535660891572,0.0004952754990886516,0.05963833227596759
70,2.301689,0.08427710218572765,0.0003758952052044566,0.059106740091570686
71,2.335047,0.08423009283478207,0.0003360237748246687,0.059061872116794846
72,2.368405,0.08306340737312014,0.00031904104184922184,0.05824009747373886
73,2.401762,0.08284669131822629,0.0002588777381165037,0.058070347244193354
74,2.435120,0.08280608966624782,0.00023055910302527107,0.05803343049728105
75,2.468478,0.08275739567799519,0.00024969568702967076,0.058005085680705525
76,2.501836,0.08299168612890885,0.00024897550604211665,0.058168872942048824
77,2.535194,0.08388677469811581,0.00022884474924075312,0.05878939571345329
78,2.568551,0.08441248045841025,0.00022065635404603618,0.059154933227100984
79,2.601909,0.08659909224512073,9.591514202339561e-05,0.06064813911419153
80,2.635267,0.08856749877801161,0.00014718779567372158,0.06204140548331024
81,2.668625,0.09171236541423491,0.0012806980561644219,0.06458286520681376
82,2.701983,0.09515049332368367,0.002445142455343632,0.06733888806318165
83,2.735340,0.09818512553683265,0.003430009727539477,0.06975859079404469
84,2.768698,0.10021552937383248,0.004195983817907186,0.07140966570705488
85,2.802056,0.10211069188717407,0.004810781108986123,0.07292071865371767
86,2.835414,0.104214320022648,0.005187162763133677,0.07450617284479369
87,2.868772,0.10674914893276063,0.006003570276239313,0.07652547533580423
88,2.902130,0.10919570910714008,0.006579217896328689,0.07841076174389666
89,2.935487,0.11181296523633359,0.00798822836696301,0.08066554417552241
90,2.968845,0.1122097705905083,0.008516419868070758,0.08110176537377703
91,3.002203,0.11334274979487752,0.008851058357494716,0.08199524236366267
92,3.035561,0.11676663992874084,0.010516190715461449,0.084891505164757
93,3.068919,0.12115749847657552,0.012288598482947631,0.08849682847848714
94,3.102276,0.12345148584979278,0.013242059833185821,0.0903886580448107
95,3.135634,0.1215749817870809,0.012475034209816759,0.08884499751390165
96,3.168992,0.11348827461981459,0.008898333806983252,0.08211129237596519
97,3.202350,0.10647037721875895,0.005897147705119709,0.07629840836466717
98,3.235708,0.10367899369174272,0.004471078269511146,0.07391661906507324
99,3.269065,0.10368051421473921,0.0045985712445391095,0.07395593132367917
100,3.302423,0.10682261006698128,0.005523226154153536,0.07643279489313294
101,3.335781,0.11084420457010684,0.006795010398846772,0.07962944631872881
102,3.369139,0.1132678211559383,0.00770377939342605,0.08159860862718463
103,3.402497,0.1150629961457585,0.008512860666574931,0.08309795550200343
104,3.435854,0.1159114704508713,0.009116031076487037,0.083872838638556
105,3.469212,0.11467575852233182,0.008895084659132217,0.08294155636337193
106,3.502570,0.1110792104729033,0.007914054857441417,0.08012966378826474
107,3.535928,0.10806058134330548,0.007088287094752874,0.0777688930687397
108,3.569286,0.10551349767258379,0.006375939423950545,0.07577223019799383
109,3.602644,0.10222955132981851,0.004890290915047068,0.07302777320538707
110,3.636001,0.09939073726113773,0.003848061940964151,0.07072793466508566
111,3.669359,0.09702237899325349,0.0029161779993772457,0.06879051869509062
112,3.702717,0.09587331837438469,0.0023990946094140588,0.0678310512448935
