2026-07-11 15:55:43 | INFO     | src.pipeline | Phase 1: Extracting frames and audio...
2026-07-11 15:55:43 | INFO     | src.video.frame_extractor | Extracting Frames from data\videos\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5.mp4...
2026-07-11 15:55:44 | INFO     | src.video.frame_extractor | 100 frames saved...
2026-07-11 15:55:44 | INFO     | src.video.frame_extractor | 200 frames saved...
2026-07-11 15:55:44 | INFO     | src.video.frame_extractor | 300 frames saved...
2026-07-11 15:55:45 | INFO     | src.video.frame_extractor | 400 frames saved...
2026-07-11 15:55:45 | INFO     | src.video.frame_extractor | 500 frames saved...
2026-07-11 15:55:46 | INFO     | src.video.frame_extractor | 600 frames saved...
2026-07-11 15:55:46 | INFO     | src.video.frame_extractor | 700 frames saved...
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | 800 frames saved...
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | 900 frames saved...
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | Extraction Complete
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | Total Frames Saved : 917
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | FPS                : 29.967
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | Saved To           : data\frames\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5
2026-07-11 15:55:47 | INFO     | src.video.frame_extractor | Meta Saved To      : data\frames\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\video_meta.json
2026-07-11 15:55:47 | INFO     | src.pipeline | Phase 2: Extracting mouth features and speech signal...
2026-07-11 15:55:50 | INFO     | src.face.mouth_features | Processing 917 frames...
2026-07-11 15:56:03 | INFO     | src.speech.speech_signal | Speech Signal Generated (mel_band)
2026-07-11 15:56:03 | INFO     | src.speech.speech_signal | Time Steps : 918
2026-07-11 15:56:03 | INFO     | src.speech.speech_signal | CSV Saved  : data\output\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\speech_signal.csv
