frame,time_sec,mouth_height,inner_area,mouth_signal
1,0.000000,0.1618673057917449,0.021677022479446625,0.11981022079805542
2,0.016671,0.1461290647636945,0.016779478842534196,0.1073241889873464
3,0.033342,0.14015343562350072,0.014695167724050441,0.10251595525366562
4,0.050012,0.13589375260743264,0.013150612259104712,0.09907081050293426
5,0.066683,0.13339806831644085,0.01228501959599644,0.09706415370030752
6,0.083354,0.13173513824580227,0.01179685418994732,0.09575365302904577
7,0.100025,0.12975089552430216,0.011205914353191083,0.09418740117296884
8,0.116696,0.1278834523395808,0.010654715114968773,0.09271483117219717
9,0.133366,0.1269009733964848,0.010207511216653437,0.09189293474253538
10,0.150037,0.1269797277288664,0.010216757847984443,0.0919508367646018
11,0.166708,0.1273409240714922,0.010284518815603255,0.09222400249472551
12,0.183379,0.1275410131580399,0.010303223933190137,0.09236967639058495
13,0.200050,0.12806188218375594,0.010429475290744665,0.09277216011585256
14,0.216720,0.12857947527522234,0.010663019060928465,0.09320453841093417
15,0.233391,0.12900535434264587,0.010874278430872488,0.09356603156911386
16,0.250062,0.1291455386777927,0.01090345454558536,0.09367291343813049
17,0.266733,0.12896073752554363,0.01079598649516395,0.09351131221642972
18,0.283403,0.12894390428643684,0.010726662974727682,0.09347873189292409
19,0.300074,0.12925859943911377,0.010687182272392985,0.09368717428909754
20,0.316745,0.13013487783303862,0.010871920269405174,0.09435599056394857
21,0.333416,0.13085181212886482,0.011047024279656157,0.09491037577410222
22,0.350087,0.13173042398370743,0.011269071460104096,0.09559201822662643
23,0.366757,0.1329419022443938,0.01154181914082573,0.09652187731332339
24,0.383428,0.13482097495025272,0.012080440519371785,0.09799881462098843
25,0.400099,0.1404444177354237,0.014218525202323962,0.10257664997549377
26,0.416770,0.15145032479560008,0.017895978445027945,0.11138402089042844
27,0.433441,0.16563589894650949,0.022830355241368925,0.12279423583496732
28,0.450111,0.1832635704523142,0.028732760607558867,0.1369043274988876
29,0.466782,0.1951267781200313,0.033106000182740306,0.146520544738844
30,0.483453,0.2027057959975151,0.03572735749461202,0.15261226444664416
31,0.500124,0.2063889224268388,0.03738224647497492,0.15568691964127962
32,0.516795,0.20803685119804458,0.03835174197334782,0.15713131843063555
33,0.533465,0.2089507966646209,0.0387706273325824,0.15789674586500935
34,0.550136,0.21065671712328385,0.03917010938362589,0.15921073480138645
35,0.566807,0.21176341095602655,0.03991459725454103,0.16020876684558089
36,0.583478,0.2120995506577351,0.03981542672744202,0.16041431347864715
37,0.600149,0.21383819649273542,0.04057815689650721,0.16186018461386695
38,0.616819,0.2145091451247616,0.04083647550976832,0.16240734424026362
39,0.633490,0.21417726124856698,0.04063188087587692,0.16211364713675996
40,0.650161,0.21282833646814162,0.04018602988728858,0.1610356444938857
41,0.666832,0.21157235421216447,0.03971720072630191,0.1600158081664057
42,0.683502,0.21075750238721852,0.03936252088326092,0.15933900793603123
